,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
212,50,2,84,1586,30,2,2,6,18,18,9,0,1,307000,97250
213,50,2,81,1555,40,2,2,2,18,4,5,0,1,131000,160000
214,50,2,82,1565,37,2,2,4,18,4,9,0,1,181000,172500
215,50,2,84,1582,43,2,2,4,18,17,9,0,1,74000,498500
216,50,2,81,1555,39,2,2,2,18,4,5,0,1,82000,167900
217,50,2,82,1565,39,2,2,4,18,4,9,0,1,132000,178950
218,50,2,81,1543,40,2,2,2,18,22,9,0,1,119000,157500
219,50,2,84,1586,38,2,2,6,18,9,9,0,1,175000,305000
220,50,2,83,1580,38,2,2,4,18,4,5,0,1,148000,239500
221,60,20,168,1142,41,2,1,4,5,4,0,0,1,200550,444500
222,50,2,84,1581,40,2,2,4,18,4,9,0,1,142000,322500
223,50,2,294,1154,37,2,2,4,18,9,0,0,1,122000,242500
224,50,2,81,1543,40,2,2,2,18,4,9,0,1,89000,166500
225,50,2,82,1565,30,2,2,4,18,11,9,0,1,333000,76500
226,50,2,84,1622,30,1,1,1,18,11,9,0,1,283000,81000
227,50,2,81,1541,40,2,2,2,18,4,9,0,1,107000,167900
228,50,2,84,1581,37,2,2,4,18,22,9,0,1,268500,205750
229,50,2,84,1622,32,1,2,4,18,8,9,0,1,280000,97000
230,50,2,81,1542,38,2,2,2,18,22,9,0,1,128000,128900
231,50,2,81,1547,41,0,2,1,18,4,5,0,1,70000,182750
232,50,2,81,1552,33,0,1,2,18,22,5,0,1,154000,84500
233,50,2,82,1622,35,0,2,3,18,9,9,0,1,259600,115500
234,50,2,82,1573,29,2,1,5,18,9,9,0,1,260000,59500
235,50,2,81,1542,41,2,2,2,18,22,9,0,1,79000,227500
236,50,2,81,1536,31,0,1,2,18,16,4,0,1,175000,78000
237,50,2,81,1542,40,2,2,1,18,4,9,0,1,100000,197950
238,50,2,82,1569,38,2,2,4,18,22,9,0,1,182000,192000
239,50,2,81,1545,41,2,2,2,18,22,9,0,1,112000,179900
240,80,3,64,1473,43,2,1,4,6,22,9,0,1,59854,594500
241,50,2,84,1581,37,2,2,4,18,22,9,0,1,137000,247500
242,50,2,306,1712,45,0,1,1,18,22,11,0,1,250,2550000
243,50,2,82,1565,39,2,2,4,18,22,9,0,1,114000,177000
244,50,2,82,1563,43,0,2,2,18,9,9,0,1,37000,349750
245,50,2,82,1566,44,2,2,4,18,8,9,0,1,1893,427500
246,50,2,306,1712,45,0,1,1,18,22,11,0,0,0,2500000
247,50,2,81,1554,40,2,2,2,18,4,5,0,1,149000,155500
248,50,2,81,1546,42,2,1,1,18,22,9,0,1,50000,224900
249,50,2,82,1565,39,2,2,4,18,4,9,0,1,159000,174500
250,50,2,84,1586,37,2,2,6,18,22,9,0,1,135000,285000
251,50,2,82,1572,37,0,2,4,18,22,9,0,1,200000,159900
252,50,2,82,1569,38,2,2,4,18,4,9,0,1,167000,166500
253,50,2,82,1565,39,2,2,4,18,8,9,0,1,96000,195000
254,50,2,82,1565,35,2,2,4,18,22,9,0,1,257000,129500
255,50,2,84,1581,36,2,2,4,18,4,9,0,1,178000,153500
256,50,2,84,1581,34,2,2,4,18,8,9,0,1,246000,137500
257,50,2,84,1581,35,2,2,4,18,22,9,0,1,195500,152000
